,host_response_time,host_response_rate,host_is_superhost,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,bed_type_Airbed,bed_type_Couch,bed_type_Futon,bed_type_Pull-out Sofa,bed_type_Real Bed,amenities_%
0,4,25,0,51.218579999999996,4.3985,2,1.0,1,1.0,145.00,100.0,0,1,0,0,0,0,0,0,1,35.714285714285715
1,1,100,1,51.230509999999995,4.405930000000001,4,2.0,2,2.0,150.00,99.0,1,0,0,0,0,0,0,0,1,64.28571428571429
2,1,100,0,51.22636,4.43119,2,1.0,1,2.0,24.00,87.0,0,0,1,0,0,1,0,0,0,14.285714285714285
3,2,100,0,51.197720000000004,4.4585300000000005,2,1.0,1,1.0,19.00,0.0,0,0,1,0,0,0,0,0,1,35.714285714285715
4,1,100,1,51.217220000000005,4.3979,4,1.0,1,2.0,105.00,95.0,1,0,0,0,0,0,0,0,1,50.0
5,2,100,0,51.21078,4.4105,2,1.0,1,1.0,55.00,93.0,1,0,0,0,0,0,0,0,1,57.14285714285714
6,2,100,1,51.19935,4.40154,3,1.0,2,2.0,45.00,95.0,1,0,0,0,0,0,0,0,1,35.714285714285715
7,1,100,1,51.21601,4.43432,2,0.5,1,1.0,31.00,91.0,0,0,1,0,0,0,0,0,1,28.57142857142857
8,1,100,1,51.21398,4.4328,2,1.0,1,1.0,30.00,89.0,0,0,1,0,0,0,0,0,1,42.857142857142854
9,1,100,1,51.215790000000005,4.43265,1,2.0,2,0.0,30.00,91.0,0,0,1,0,0,0,0,0,1,42.857142857142854
10,0,0,0,51.2014,4.40649,1,1.0,1,1.0,48.00,83.0,1,0,0,0,0,0,0,0,1,21.428571428571427
11,0,0,0,51.220009999999995,4.39813,4,1.0,1,2.0,195.00,0.0,1,0,0,0,0,0,0,0,1,57.14285714285714
12,4,0,0,51.23183,4.404780000000001,2,1.0,1,1.0,150.00,94.0,1,0,0,0,0,0,0,0,1,57.14285714285714
13,1,100,0,51.22287,4.40404,2,1.5,1,1.0,60.00,100.0,1,0,0,0,0,0,0,1,0,21.428571428571427
14,0,0,0,51.18187,4.39381,2,1.0,1,1.0,100.00,95.0,1,0,0,0,0,0,0,0,1,28.57142857142857
15,1,100,1,51.18152,4.39463,4,1.0,2,2.0,60.00,96.0,0,0,1,0,0,0,0,0,1,35.714285714285715
16,2,100,1,51.20753,4.40589,2,1.0,1,1.0,150.00,96.0,1,0,0,0,0,0,0,0,1,50.0
17,1,100,0,51.21618,4.43037,5,1.0,2,3.0,85.00,88.0,1,0,0,0,0,0,0,0,1,42.857142857142854
18,2,100,1,51.21748,4.4456,2,1.0,1,1.0,85.00,93.0,0,0,1,0,0,0,0,0,1,28.57142857142857
19,0,0,0,51.195890000000006,4.41443,3,1.0,1,1.0,65.00,90.0,0,0,1,0,0,0,0,0,1,42.857142857142854
20,0,0,0,51.19482,4.41339,3,1.0,1,2.0,120.00,0.0,0,0,1,0,0,0,0,0,1,57.14285714285714
21,1,100,1,51.20955,4.41481,6,1.0,1,6.0,75.00,91.0,1,0,0,0,0,0,0,0,1,42.857142857142854
22,3,89,0,51.19536,4.40806,4,1.0,2,4.0,75.00,98.0,0,0,1,0,0,0,0,0,1,64.28571428571429
23,0,0,0,51.21775,4.38434,2,1.0,1,1.0,75.00,87.0,1,0,0,0,0,0,0,0,1,35.714285714285715
24,1,100,0,51.203990000000005,4.41249,2,1.5,1,1.0,75.00,92.0,1,0,0,0,0,0,0,0,1,35.714285714285715
25,1,100,1,51.212309999999995,4.4269,4,1.5,1,1.0,93.00,97.0,1,0,0,0,0,0,0,0,1,50.0
26,2,100,0,51.21264,4.39098,6,1.0,2,5.0,177.00,94.0,1,0,0,0,0,0,0,0,1,57.14285714285714
27,3,60,1,51.22124,4.42575,7,1.5,1,4.0,40.00,95.0,0,0,1,0,0,0,0,0,1,42.857142857142854
28,3,60,1,51.2207,4.42549,7,1.5,1,4.0,40.00,96.0,0,0,1,0,0,0,0,0,1,28.57142857142857
29,1,100,0,51.22043,4.40562,2,1.0,1,1.0,85.00,90.0,0,0,1,0,0,0,0,0,1,42.857142857142854
30,4,25,0,51.218740000000004,4.39835,2,1.0,1,1.0,150.00,0.0,0,1,0,0,0,0,0,0,1,35.714285714285715
31,4,25,0,51.21797,4.3999,4,1.0,2,2.0,180.00,100.0,0,1,0,0,0,0,0,0,1,42.857142857142854
32,2,100,0,51.215959999999995,4.43764,2,1.0,1,1.0,55.00,96.0,1,0,0,0,0,0,0,0,1,21.428571428571427
33,2,100,1,51.215309999999995,4.44498,10,2.0,5,7.0,340.00,92.0,1,0,0,0,0,0,0,0,1,42.857142857142854
34,1,100,0,51.20386,4.45937,5,1.0,3,5.0,77.00,93.0,1,0,0,0,0,0,0,0,1,57.14285714285714
35,1,100,0,51.22252,4.40751,2,1.0,1,2.0,62.00,93.0,1,0,0,0,0,0,0,0,1,21.428571428571427
36,1,100,0,51.20295,4.4593,5,1.0,3,5.0,77.00,86.0,1,0,0,0,0,0,0,0,1,57.14285714285714
37,2,70,0,51.21024,4.39995,2,1.0,1,2.0,75.00,91.0,1,0,0,0,0,0,0,0,1,57.14285714285714
38,3,60,1,51.2206,4.42486,2,1.0,1,1.0,40.00,97.0,0,0,1,0,0,0,0,0,1,35.714285714285715
39,0,0,0,51.20087,4.43141,4,1.5,2,1.0,35.00,93.0,1,0,0,0,1,0,0,0,0,14.285714285714285
40,1,100,0,51.21751,4.4298,5,1.0,2,2.0,45.00,92.0,1,0,0,0,0,0,0,0,1,28.57142857142857
41,2,100,0,51.193290000000005,4.4118900000000005,2,1.0,1,1.0,69.00,100.0,1,0,0,0,0,0,0,0,1,35.714285714285715
42,2,100,0,51.19813,4.458069999999999,2,3.0,1,1.0,19.00,100.0,0,0,1,0,0,0,0,0,1,28.57142857142857
43,1,100,0,51.23133,4.41015,6,3.0,2,2.0,175.00,96.0,1,0,0,0,0,0,0,0,1,50.0
44,3,100,0,51.21053,4.43308,2,1.0,1,1.0,77.00,95.0,1,0,0,0,0,0,0,0,1,21.428571428571427
45,2,100,0,51.1914,4.388730000000001,2,1.0,1,2.0,55.00,92.0,1,0,0,0,0,0,0,0,1,64.28571428571429
