,accommodates,price,guests_included,extra_people
0,2,145.0,1,0.00
1,4,150.0,1,0.00
2,2,24.0,1,16.00
3,2,19.0,1,0.00
4,4,105.0,2,25.00
5,2,55.0,1,0.00
6,3,45.0,1,17.00
7,2,31.0,1,15.00
8,2,30.0,1,15.00
9,1,30.0,1,15.00
10,1,48.0,1,10.00
11,4,195.0,1,50.00
12,2,150.0,2,0.00
13,2,60.0,1,20.00
14,2,100.0,2,0.00
15,4,60.0,2,30.00
16,2,150.0,1,7.00
17,5,85.0,2,20.00
18,2,85.0,2,0.00
19,3,65.0,2,35.00
20,3,120.0,2,25.00
21,6,75.0,2,25.00
22,4,75.0,2,35.00
23,2,75.0,1,0.00
24,2,75.0,1,0.00
25,4,93.0,2,15.00
26,6,177.0,4,0.00
27,7,40.0,1,25.00
28,7,40.0,1,30.00
29,2,85.0,1,0.00
30,2,150.0,1,0.00
31,4,180.0,2,25.00
32,2,55.0,2,8.00
33,10,340.0,6,40.00
34,5,77.0,2,30.00
35,2,62.0,1,0.00
36,5,77.0,2,30.00
37,2,75.0,1,15.00
38,2,40.0,1,25.00
39,4,35.0,3,20.00
40,5,45.0,2,17.00
41,2,69.0,2,15.00
42,2,19.0,2,8.00
43,6,175.0,2,50.00
44,2,77.0,2,50.00
45,2,55.0,2,15.00
46,4,90.0,2,12.00
47,2,179.0,2,0.00
48,2,45.0,2,0.00
49,2,70.0,2,20.00
50,16,40.0,1,40.00
51,3,60.0,1,0.00
52,4,90.0,1,0.00
53,2,80.0,1,0.00
54,3,50.0,2,10.00
55,12,100.0,2,50.00
56,8,35.0,1,30.00
57,4,65.0,1,0.00
58,2,35.0,2,15.00
59,2,70.0,2,0.00
60,2,33.0,1,17.00
61,4,38.0,2,15.00
62,2,125.0,1,0.00
63,4,104.0,2,25.00
64,4,270.0,1,0.00
65,2,22.0,1,9.00
66,4,85.0,2,10.00
67,2,60.0,1,0.00
68,2,23.0,2,0.00
69,2,45.0,1,0.00
70,2,75.0,1,0.00
71,3,49.0,2,15.00
72,4,36.0,1,12.00
73,2,50.0,1,5.00
74,2,85.0,2,0.00
75,4,110.0,2,15.00
76,2,49.0,1,10.00
77,2,95.0,1,0.00
78,2,155.0,1,0.00
79,2,45.0,1,0.00
80,4,98.0,1,0.00
81,4,180.0,2,25.00
82,2,65.0,1,0.00
83,2,60.0,1,15.00
84,2,33.0,1,0.00
85,8,35.0,1,40.00
86,16,450.0,1,45.00
87,16,44.0,1,33.00
88,2,75.0,1,0.00
89,16,22.0,1,21.00
90,4,65.0,2,15.00
91,6,140.0,4,30.00
92,8,335.0,6,25.00
93,2,59.0,1,0.00
94,7,230.0,6,30.00
95,2,66.0,1,15.00
96,2,70.0,1,0.00
97,4,87.0,2,10.00
98,4,109.0,2,20.00
99,8,110.0,4,13.00
100,2,55.0,1,35.00
101,5,88.0,2,35.00
102,3,51.0,2,15.00
103,2,49.0,1,0.00
104,2,32.0,1,0.00
